"","month","srv_addr","date_post","admin","chat","info","economy","plugin_count","rulesum"
"320",8,"navyyard.nitrado.net",2015-06-17,6,3,9,5,29,30187
"321",8,"play.shatteredmines.com",2015-06-03,9,2,4,11,38,30187
"322",8,"85.131.204.155",2015-06-17,4,0,2,4,12,30187
"323",8,"23.235.248.99",2015-06-17,0,1,0,0,2,30187
"324",8,"85.114.157.24",2015-06-17,1,0,1,4,6,30187
"325",8,"81.30.153.253",2015-06-17,1,0,1,0,3,30187
"326",8,"37.187.137.213:25583",2015-06-03,1,0,1,0,5,30187
"327",8,"167.114.1.218:25853",2015-06-03,14,2,6,14,44,30187
"328",8,"pixelmon.team-ethernity.fr",2015-06-03,10,7,7,8,43,30187
"329",8,"217.114.196.107",2015-06-17,8,1,2,8,20,30187
"330",8,"188.138.89.87",2015-06-17,1,0,2,0,5,30187
"331",8,"167.114.101.146:25697",2015-06-03,4,5,7,8,37,30187
"332",8,"mc.cube.ez.lv",2015-06-03,7,1,2,5,18,30187
"333",8,"23.89.192.35",2015-06-17,1,0,1,4,7,30187
"334",8,"217.198.132.86",2015-06-17,2,1,1,0,6,30187
"335",8,"192.210.236.53:25765",2015-06-17,1,0,2,6,10,30187
"336",8,"5.101.160.26",2015-06-17,2,0,1,4,8,30187
"337",8,"185.4.149.32:25583",2015-06-03,9,1,5,7,29,30187
"338",8,"37.10.97.67",2015-06-17,1,0,1,1,3,30187
"339",8,"ttmc.game.nfoservers.com",2015-06-03,9,1,6,11,29,30187
"340",8,"31.214.202.18",2015-06-17,4,1,0,0,7,30187
"341",8,"193.111.138.54",2015-06-17,13,3,4,5,28,30187
"342",8,"217.114.199.254",2015-06-17,0,1,1,4,8,30187
"343",8,"85.190.133.235",2015-06-17,1,1,2,0,4,30187
"344",8,"5.62.125.250",2015-06-17,2,0,1,2,7,30187
"345",8,"5.62.97.239",2015-06-17,9,0,9,3,32,30187
"346",8,"128.65.213.222",2015-06-17,0,0,1,0,3,30187
"347",8,"85.190.167.151",2015-06-17,3,0,1,4,12,30187
"348",8,"85.131.200.18",2015-06-17,6,0,9,7,22,30187
"349",8,"109.230.240.40",2015-06-17,1,0,1,2,5,30187
"350",8,"69.175.65.197:25566",2015-06-17,6,1,2,5,17,30187
"351",8,"85.236.100.70:26065",2015-06-03,2,0,1,1,4,30187
"352",8,"5.62.68.108",2015-06-17,3,0,3,1,7,30187
